tag,search_terms,notes
public health and climate,['public health and climate'],closest match: climate and health (score: 0.7606)
public health infrastructure,['public health infrastructure'],closest match: healthcare infrastructure (score: 0.7575)
public health initiatives,['public health initiatives'],closest match: community-based initiatives (score: 0.6747)
public health outreach,['public health outreach'],closest match: community outreach (score: 0.7552)
public health policy,['public health policy'],closest match: public health (score: 0.7745)
public health products,['public health products'],closest match: health products (score: 0.7749)
public health staff,['public health staff'],closest match: public health outreach (score: 0.6912)
public health testing,['public health testing'],closest match: public health monitoring (score: 0.7323)
public programs,['public programs'],closest match: groundwater programs (score: 0.7043)
public safety management,['public safety management'],closest match: public safety (score: 0.7670)
public safety technology,['public safety technology'],closest match: public safety (score: 0.7461)
pulmonary disease management,"['pulmonary disease management', 'respiratory disease management']",closest match: lung disease treatment (score: 0.7003)
pulmonary inflammation,['pulmonary inflammation'],closest match: lung inflammation (score: 0.7034)
pulmonary rehabilitation,['pulmonary rehabilitation'],closest match: pulmonary disease management (score: 0.6823)
pulse oximetry,['pulse oximetry'],closest match: blood oxygen monitoring (score: 0.7357)
rabies vaccination,['rabies vaccination'],closest match: rna vaccines (score: 0.5770)
radiotherapy,['radiotherapy'],closest match: proton therapy (score: 0.6521)
raman spectroscopy,['raman spectroscopy'],closest match: mass spectrometry (score: 0.5074)
rapid disease detection,['rapid disease detection'],closest match: rapid diagnostic testing (score: 0.7480)
rapid infuser,['rapid infuser'],closest match: air-to-water dispenser (score: 0.4895)
rapid microbial detection,['rapid microbial detection'],closest match: microbial testing (score: 0.7463)
rapid microbiology testing,['rapid microbiology testing'],closest match: rapid microbial detection (score: 0.7683)
refugee health,['refugee health'],closest match: immigrant health (score: 0.6360)
regulated gxp,['regulated gxp'],closest match: gene therapeutics (score: 0.4204)
reinsurance products,['reinsurance products'],closest match: insurance and climate risk (score: 0.5565)
remote data transmission,['remote data transmission'],closest match: remote healthcare (score: 0.6009)
remote diagnostics,['remote diagnostics'],closest match: digital diagnostics (score: 0.7867)
remote pulmonary care,['remote pulmonary care'],closest match: cardiopulmonary care (score: 0.6875)
remote sensing,['remote sensing'],closest match: advanced sensing (score: 0.5748)
remote therapy,['remote therapy'],closest match: remote healthcare (score: 0.7458)
remote vital signs monitoring,['remote vital signs monitoring'],closest match: remote patient monitoring (score: 0.7877)
renewable energy integration,['renewable energy integration'],closest match: renewable energy (score: 0.7506)
resiliency,['resiliency'],closest match: resilience building (score: 0.7989)
resilient insurance,['resilient insurance'],closest match: resiliency (score: 0.6843)
resource recovery,['resource recovery'],closest match: recovery (score: 0.7276)
respiratory conditions,['respiratory conditions'],closest match: respiratory diseases (score: 0.7907)
respiratory diagnostics,['respiratory diagnostics'],closest match: respiratory infection testing (score: 0.7133)
respiratory illness,"['respiratory illness', 'respiratory illnesses']",closest match: respiratory diseases (score: 0.7992)
respiratory inflammation,['respiratory inflammation'],closest match: pulmonary inflammation (score: 0.7830)
respiratory monitoring devices,"['respiratory monitoring devices', 'respiratory monitoring technology']",closest match: breathing monitoring (score: 0.7678)
respiratory patient care,['respiratory patient care'],closest match: post-surgical respiratory care (score: 0.6948)
respiratory protection,['respiratory protection'],closest match: respiratory health (score: 0.6544)
respiratory rate,['respiratory rate'],closest match: respiratory function (score: 0.6261)
respiratory rehabilitation,['respiratory rehabilitation'],closest match: pulmonary rehabilitation (score: 0.7835)
respiratory rna therapeutics,['respiratory rna therapeutics'],closest match: respiratory vaccines (score: 0.6323)
respiratory syncytial virus,['respiratory syncytial virus'],closest match: respiratory viral infections (score: 0.6868)
respiratory therapy,"['respiratory therapy', 'respiratory therapy devices']",closest match: respiratory rehabilitation (score: 0.7377)
respiratory tract delivery,['respiratory tract delivery'],closest match: respiratory patient care (score: 0.5959)
risk assessment,['risk assessment'],closest match: property risk assessment (score: 0.7165)
risk management,['risk management'],closest match: energy risk management (score: 0.7804)
risk mitigation technology,['risk mitigation technology'],closest match: disaster mitigation (score: 0.6847)
rna delivery,['rna delivery'],closest match: dna-based therapeutics (score: 0.5314)
rna extraction,['rna extraction'],closest match: rna delivery (score: 0.6312)
rna interference,['rna interference'],closest match: rna delivery (score: 0.5772)
rna stabilization,['rna stabilization'],closest match: rna delivery (score: 0.6194)
rna therapeutics,['rna therapeutics'],closest match: gene therapeutics (score: 0.7825)
safety and warmth,['safety and warmth'],closest match: physical comfort (score: 0.5527)
safety education,['safety education'],closest match: fire safety education (score: 0.7845)
safety management,"['safety management', 'safety management software']",closest match: public safety management (score: 0.7980)
saliva-based tests,['saliva-based tests'],closest match: clinical test kits (score: 0.5813)
sample management,['sample management'],closest match: clinical sample analysis (score: 0.6153)
sanitizers,['sanitizers'],closest match: disinfectants (score: 0.7839)
satellite data,"['satellite data', 'satellite imagery']",closest match: atmospheric data (score: 0.5898)
satellite imagery water monitoring,['satellite imagery water monitoring'],closest match: satellite data (score: 0.7167)
seed germination,['seed germination'],closest match: plant health (score: 0.4740)
seed treatment,['seed treatment'],closest match: seed germination (score: 0.6999)
seismic monitoring,['seismic monitoring'],closest match: seismic control (score: 0.7452)
self-guided therapy,['self-guided therapy'],closest match: remote therapy (score: 0.6247)
severe asthma,['severe asthma'],closest match: asthma (score: 0.7083)
severe weather alerts,['severe weather alerts'],closest match: severe weather events (score: 0.7605)
sexually transmitted infections,['sexually transmitted infections'],closest match: viral infections (score: 0.5478)
single-cell microbiology,['single-cell microbiology'],closest match: microbial diversity (score: 0.6341)
sinus pain relief,['sinus pain relief'],closest match: chronic sinusitis (score: 0.5827)
skin healing,['skin healing'],closest match: skin health (score: 0.6709)
sleep interventions,['sleep interventions'],closest match: sleep support (score: 0.6769)
smart city infrastructure,['smart city infrastructure'],closest match: climate-smart infrastructure (score: 0.6286)
smart farming,['smart farming'],closest match: farm management (score: 0.6936)
smart hvac,['smart hvac'],closest match: energy-efficient hvac (score: 0.7647)
social equity,['social equity'],closest match: nutrition equity (score: 0.7409)
soil amendments,['soil amendments'],closest match: soil remediation (score: 0.6645)
soil biodiversity,['soil biodiversity'],closest match: soil health (score: 0.6880)
soil carbon,"['soil carbon', 'soil carbon sensor']",closest match: soil biodiversity (score: 0.6779)
soil equity,['soil equity'],closest match: social equity (score: 0.6980)
soil microbiome,"['soil microbiome', 'soil microbiome dna']",closest match: soil biodiversity (score: 0.7652)
soil moisture analytics,['soil moisture analytics'],closest match: soil quality data (score: 0.6391)
soil organism preservation,['soil organism preservation'],closest match: soil biodiversity (score: 0.6464)
soil sampling,['soil sampling'],closest match: soil quality data (score: 0.7271)
solar generators,['solar generators'],closest match: solar power (score: 0.7325)
stakeholder collaboration,"['stakeholder collaboration', 'stakeholder engagement']",closest match: community engagement (score: 0.5687)
storm monitoring,"['storm monitoring', 'weather monitoring']",closest match: flood monitoring (score: 0.7388)
stress regulation,['stress regulation'],closest match: stress management (score: 0.7690)
stroke monitoring,['stroke monitoring'],closest match: hydration monitoring (score: 0.7142)
structural monitoring,['structural monitoring'],closest match: storm monitoring (score: 0.7406)
subclinical mastitis,['subclinical mastitis'],closest match: chronic sinusitis (score: 0.4272)
substance use responders,['substance use responders'],closest match: emergency response (score: 0.4726)
substance use treatment,['substance use treatment'],closest match: substance use responders (score: 0.7152)
subunit vaccines,['subunit vaccines'],closest match: rna vaccines (score: 0.6966)
supply chain resilience,['supply chain resilience'],closest match: supply chains (score: 0.6730)
supply chain transparency,['supply chain transparency'],closest match: supply chain resilience (score: 0.7182)
sustainability education,['sustainability education'],closest match: sustainability (score: 0.7599)
sustainability efforts,"['sustainability efforts', 'sustainability initiatives']",closest match: sustainability (score: 0.7371)
sustainability goals,['sustainability goals'],closest match: sustainability efforts (score: 0.7544)
sustainable ballast water treatment,['sustainable ballast water treatment'],closest match: ballast water management (score: 0.7315)
sustainable crop inputs,['sustainable crop inputs'],closest match: sustainable agriculture (score: 0.6873)
sustainable development,"['sustainable development', 'sustainable urban development']",closest match: sustainable growth (score: 0.7758)
sustainable fishing,['sustainable fishing'],closest match: sustainable farming (score: 0.7039)
sustainable health solutions,['sustainable health solutions'],closest match: health it solutions (score: 0.7512)
sustainable land use,['sustainable land use'],closest match: sustainable agriculture (score: 0.7079)
sustainable landscaping,['sustainable landscaping'],closest match: sustainable land use (score: 0.7010)
sustainable livelihoods,['sustainable livelihoods'],closest match: sustainable living (score: 0.7494)
sustainable plastics,['sustainable plastics'],closest match: sustainable materials (score: 0.7507)
sustainable resource management,['sustainable resource management'],closest match: natural resources management (score: 0.7094)
sustainable resource recovery,['sustainable resource recovery'],closest match: sustainable resource management (score: 0.7923)
sustainable support,['sustainable support'],closest match: sustainable living (score: 0.6792)
swine vaccines,['swine vaccines'],closest match: rna vaccines (score: 0.7044)
targeted therapies,['targeted therapies'],closest match: immunotherapies (score: 0.6440)
telecommunication systems,['telecommunication systems'],closest match: disaster communication systems (score: 0.6126)
telehealth platforms,['telehealth platforms'],closest match: telehealth (score: 0.7955)
telepathology,['telepathology'],closest match: telemedicine (score: 0.6067)
temperature monitoring,"['temperature monitoring', 'temperature sensing', 'temperature sensors']",closest match: temperature control (score: 0.7762)
temperature-stable vaccines,['temperature-stable vaccines'],closest match: rna vaccines (score: 0.6130)
thermal burn wounds,['thermal burn wounds'],closest match: heat-related injuries (score: 0.5992)
thermal conductivity,['thermal conductivity'],closest match: thermal resistance (score: 0.7689)
thermal imagery,['thermal imagery'],closest match: thermal performance (score: 0.6369)
thermal measurement,['thermal measurement'],closest match: temperature monitoring (score: 0.7476)
thermal runaway prevention,['thermal runaway prevention'],closest match: fire prevention technology (score: 0.5965)
thermal salt separation,['thermal salt separation'],closest match: desalination (score: 0.5785)
thermoregulation,['thermoregulation'],closest match: thermal regulation (score: 0.7454)
tick species,['tick species'],closest match: mosquito species (score: 0.5039)
toxic chemical removal,['toxic chemical removal'],closest match: toxic waste reduction (score: 0.7176)
toxic chemical risk,['toxic chemical risk'],closest match: toxic chemical removal (score: 0.7395)
toxic environment,['toxic environment'],closest match: toxic chemical risk (score: 0.7599)
toxic exposure prevention,['toxic exposure prevention'],closest match: toxic waste reduction (score: 0.6651)
toxic gas remediation,"['toxic gas remediation', 'toxic pollution remediation']",closest match: toxic chemical removal (score: 0.7357)
toxic pollution,['toxic pollution'],closest match: toxic environment (score: 0.7710)
toxic waste backhaul,['toxic waste backhaul'],closest match: toxic waste reduction (score: 0.7032)
toxic-free living,['toxic-free living'],closest match: toxic waste reduction (score: 0.6683)
toxicity regulation,['toxicity regulation'],closest match: toxic chemical risk (score: 0.6411)
toxicity testing,['toxicity testing'],closest match: toxicity regulation (score: 0.7523)
toxin levels,['toxin levels'],closest match: toxicity testing (score: 0.5854)
toxin testing,['toxin testing'],closest match: toxin levels (score: 0.7754)
toxin-free materials,['toxin-free materials'],closest match: toxic-free living (score: 0.6599)
transdermal vaccines,['transdermal vaccines'],closest match: needle-free vaccines (score: 0.5985)
trauma recovery,['trauma recovery'],closest match: trauma (score: 0.7973)
travel health,['travel health'],closest match: health technology (score: 0.6148)
travel medicine,['travel medicine'],closest match: travel health (score: 0.7952)
tribal health,['tribal health'],closest match: community health (score: 0.5811)
tumor antigen targeting,['tumor antigen targeting'],closest match: targeted therapies (score: 0.6036)
tumor microenvironment,['tumor microenvironment'],closest match: tumor antigen targeting (score: 0.6183)
tumor temperature,['tumor temperature'],closest match: tumor microenvironment (score: 0.6386)
unintentional injury prevention,['unintentional injury prevention'],closest match: infection prevention (score: 0.5718)
urban development,['urban development'],closest match: urban agriculture (score: 0.6626)
urban health,['urban health'],closest match: urban development (score: 0.6696)
urban heat,['urban heat'],closest match: urban health (score: 0.7102)
urban heat reduction,['urban heat reduction'],closest match: urban heat (score: 0.7956)
urban migrant health,['urban migrant health'],closest match: immigrant health (score: 0.7000)
urban resilience,['urban resilience'],closest match: community resilience (score: 0.6896)
usda organic certified,['usda organic certified'],closest match: sustainable agriculture (score: 0.4613)
uv disinfection,"['uv disinfection', 'uv light disinfection']",closest match: uv-c light purification (score: 0.6817)
uv filtering,['uv filtering'],closest match: advanced filtration (score: 0.6059)
vaccine clinical trials,['vaccine clinical trials'],closest match: vaccine research (score: 0.7247)
vaccine cold chain reduction,['vaccine cold chain reduction'],closest match: cold-chain logistics (score: 0.6503)
vaccine immunogenicity,['vaccine immunogenicity'],closest match: vaccine formulation (score: 0.6725)
vaccine logistics,['vaccine logistics'],closest match: vaccine delivery (score: 0.7728)
vaccine stability,"['vaccine stability', 'vaccine thermostability']",closest match: temperature-stable vaccines (score: 0.6847)
vector control,['vector control'],closest match: communicable disease control (score: 0.4113)
vector surveillance,['vector surveillance'],closest match: pathogen surveillance (score: 0.5859)
ventilation monitoring,['ventilation monitoring'],closest match: breathing monitoring (score: 0.7724)
ventilation systems,['ventilation systems'],closest match: ventilation (score: 0.7609)
ventilator-associated pneumonia,['ventilator-associated pneumonia'],closest match: ventilation monitoring (score: 0.5209)
viral entry inhibition,['viral entry inhibition'],closest match: antiviral drug discovery (score: 0.5799)
viral mutations,['viral mutations'],closest match: viral infections (score: 0.7073)
viral neutralization,['viral neutralization'],closest match: viral entry inhibition (score: 0.6880)
viral variants detection,['viral variants detection'],closest match: covid-19 detection (score: 0.6387)
virtual care,['virtual care'],closest match: remote healthcare (score: 0.7051)
virtual consultations,['virtual consultations'],closest match: virtual care (score: 0.7307)
virtual health programs,['virtual health programs'],closest match: virtual care (score: 0.7279)
virtual mental health,['virtual mental health'],closest match: digital mental health (score: 0.7968)
virtual reality training,['virtual reality training'],closest match: remote therapy (score: 0.5478)
virus disinfection,['virus disinfection'],closest match: disinfection (score: 0.7645)
virus inactivation,['virus inactivation'],closest match: virus disinfection (score: 0.7463)
virus-like particle vaccines,"['virus-like particle vaccines', 'virus-like particles']",closest match: nanoparticle vaccines (score: 0.6471)
visitor management,['visitor management'],closest match: demand management (score: 0.5069)
vital signs monitoring,['vital signs monitoring'],closest match: remote vital signs monitoring (score: 0.7292)
vitamin a supplementation,['vitamin a supplementation'],closest match: vitamin therapy (score: 0.6506)
vitamin status,['vitamin status'],closest match: vitamin therapy (score: 0.6278)
vitamins b12,['vitamins b12'],closest match: vitamin c (score: 0.5656)
vitamins b5,['vitamins b5'],closest match: vitamins b12 (score: 0.6898)
volatil organic compounds,"['volatil organic compounds', 'volatile organic compounds']",closest match: hazardous chemicals (score: 0.4395)
volume resuscitation,['volume resuscitation'],closest match: respiratory patient care (score: 0.5343)
vortex-based wastewater treatment,['vortex-based wastewater treatment'],closest match: wastewater treatment (score: 0.7118)
warmth technology,['warmth technology'],closest match: thermal comfort (score: 0.6981)
wash projects,['wash projects'],closest match: wash solutions (score: 0.7741)
waste heat utilization,['waste heat utilization'],closest match: water waste (score: 0.6052)
waste management,['waste management'],closest match: wastewater management (score: 0.7872)
wastewater networks,['wastewater networks'],closest match: wastewater solutions (score: 0.7589)
water accessibility,['water accessibility'],closest match: water efficiency (score: 0.7471)
water and wastewater services,['water and wastewater services'],closest match: water utilities (score: 0.7612)
water consumption analytics,['water consumption analytics'],closest match: water data analytics (score: 0.7681)
water cycle management,['water cycle management'],closest match: water management (score: 0.7758)
water disinfection,"['water disinfection', 'water disinfection chemicals']",closest match: disinfection (score: 0.7321)
water filtration nanomaterials,['water filtration nanomaterials'],closest match: nanotechnology filtration (score: 0.7651)
water footprint reduction,['water footprint reduction'],closest match: water conservation (score: 0.6601)
water forecasting,['water forecasting'],closest match: water management (score: 0.7455)
water preservation,['water preservation'],closest match: water conservation (score: 0.7954)
water rebates,['water rebates'],closest match: grass rebates (score: 0.7273)
water recovery,['water recovery'],closest match: water reclamation (score: 0.7489)
water safety,['water safety'],closest match: water risk (score: 0.6948)
water security,['water security'],closest match: water risk (score: 0.7797)
water system sustainability,['water system sustainability'],closest match: water system management (score: 0.7801)
water usage,"['water usage', 'water usage reduction']",closest match: water conservation (score: 0.7707)
water-efficient landscaping,['water-efficient landscaping'],closest match: sustainable landscaping (score: 0.7706)
water-efficient technologies,['water-efficient technologies'],closest match: energy-efficient technologies (score: 0.7669)
water-repellent fabrics,['water-repellent fabrics'],closest match: water-resistant (score: 0.6710)
waterborne disease prevention,['waterborne disease prevention'],closest match: waterborne diseases (score: 0.7829)
waterborne toxin removal,['waterborne toxin removal'],closest match: toxic chemical removal (score: 0.6794)
watershed management,['watershed management'],closest match: water resource management (score: 0.7451)
wearable cooling,['wearable cooling'],closest match: energy-efficient cooling (score: 0.6732)
wearable heating,"['wearable heating', 'wearable warming', 'wearable warming technology']",closest match: wearable cooling (score: 0.7792)
wearable hydration monitors,['wearable hydration monitors'],closest match: wearable personal monitor (score: 0.7402)
wearable respiratory sensors,['wearable respiratory sensors'],closest match: medical wearable sensors (score: 0.7810)
weather radar,['weather radar'],closest match: weather data (score: 0.6882)
weather risk analytics,"['weather risk analytics', 'weather risk management']",closest match: climate hazard analytics (score: 0.7089)
weather-related hazards,['weather-related hazards'],closest match: climate-related risks (score: 0.7126)
weed control,['weed control'],closest match: precision weed control (score: 0.7830)
white blood cell count,['white blood cell count'],closest match: hematology (score: 0.4569)
white blood cell monitoring,['white blood cell monitoring'],closest match: white blood cell count (score: 0.7210)
wildfire smoke,['wildfire smoke'],closest match: wildfire risks (score: 0.7187)
wildfire smoke removal,['wildfire smoke removal'],closest match: wildfire smoke (score: 0.7728)
wildfires,['wildfires'],closest match: wildfire risks (score: 0.7571)
wood sealers,['wood sealers'],closest match: air sealants (score: 0.6662)
wound healing,['wound healing'],closest match: wound care (score: 0.7933)
zero liquid discharge,"['zero liquid discharge', 'zero-liquid discharge']",closest match: clean water (score: 0.4829)
zero-carbon future,['zero-carbon future'],closest match: carbon neutral economy (score: 0.6408)
zoonotic diseases,['zoonotic diseases'],closest match: infectious diseases (score: 0.6824)
